WormBaseId Gene_Name ExprWtXXEmb FoldDecreaseXOEmb
WBGene00003828 nuc-1 10.6 1.8
WBGene00015474 C05D9.7 10.6 1.5
WBGene00007068 6R55.1 10.6 1.9
WBGene00003149 mbk-1 10.5 1.9
WBGene00020194 T03G6.1 10.5 1.8
WBGene00004826 skr-20 10.5 2.4
WBGene00003776 nmy-1 10.5 1.7
WBGene00009851 F48F7.6 10.5 1.6
WBGene00016103 dpyd-1 10.5 1.7
WBGene00015565 C07D8.6 10.5 2.8
WBGene00004148 pqn-65 10.4 2.6
WBGene00018656 F49H12.5 10.4 4.3
WBGene00017307 F09F9.2 10.4 1.7
WBGene00000207 asb-2 10.4 1.5
WBGene00007129 B0272.3 10.4 1.8
WBGene00004270 rab-6.2 10.3 1.6
WBGene00002060 ife-2 10.3 2.3
WBGene00019748 atg-2 10.3 1.6
WBGene00000929 dao-3 10.3 1.7
WBGene00000294 cas-1 10.3 1.7
WBGene00017380 F11D5.1 10.3 1.7
WBGene00017244 apy-1 10.3 2.4
WBGene00003171 mec-7 10.2 1.9
WBGene00012256 W04G3.2 10.2 1.7
WBGene00002071 ile-2 10.2 1.6
WBGene00016489 C36E6.1 10.2 2.3
WBGene00007942 C34F6.8 10.2 1.6
WBGene00015791 C15C7.5 10.2 1.7
WBGene00020496 spat-3 10.1 1.9
WBGene00020334 atg-11 10.1 1.6
WBGene00006890 vem-1 10.1 2.0
WBGene00009674 nucb-1 10.1 2.1
WBGene00001425 fis-2 10.1 1.9
WBGene00011679 ucr-2.2 10.0 1.6
WBGene00019272 H42K12.3 10.0 2.3
WBGene00019250 H28G03.2 10.0 2.4
WBGene00018682 F52D1.1 10.0 1.6
WBGene00009574 F40E10.6 10.0 1.5
WBGene00008605 mlt-9 10.0 1.9
WBGene00016934 C54G7.2 10.0 1.5
WBGene00000457 ceh-36 10.0 2.0
WBGene00002062 ife-4 10.0 1.6
WBGene00011104 cut-5 9.9 1.6
WBGene00018878 glit-1 9.9 2.3
WBGene00009233 F28H6.4 9.9 1.5
WBGene00008260 C52G5.2 9.9 2.0
WBGene00007812 C29F7.3 9.9 1.6
WBGene00022611 ZC449.1 9.8 2.0
WBGene00019656 K11G12.5 9.8 1.5
WBGene00018853 F55A4.1 9.8 1.7
WBGene00018710 F52G3.1 9.8 2.3
WBGene00018485 F46C8.3 9.8 1.8
WBGene00018193 F39C12.1 9.8 1.5
WBGene00017571 tag-279 9.8 1.5
WBGene00017419 F13B9.1 9.8 1.7
WBGene00002023 hsp-25 9.8 1.6
WBGene00010433 H40L08.1 9.7 1.6
WBGene00004121 pqn-34 9.7 1.6
WBGene00015546 C06G1.2 9.7 2.0
WBGene00015529 C06E2.5 9.7 1.7
WBGene00006764 unc-27 9.6 1.6
WBGene00011938 T22H6.2 9.6 1.9
WBGene00010835 M03B6.3 9.6 2.2
WBGene00000164 apm-3 9.6 1.6
WBGene00008974 F20D1.2 9.6 1.8
WBGene00015561 C07A12.7 9.6 2.0
WBGene00021044 W05H7.1 9.5 2.1
WBGene00012258 W04G3.5 9.5 1.6
WBGene00020199 T03G11.6 9.5 1.5
WBGene00001583 gfi-3 9.5 2.0
WBGene00010725 erv-46 9.5 1.6
WBGene00023497 lin-15B 9.4 2.3
WBGene00010924 M153.1 9.4 2.0
WBGene00001572 gei-15 9.4 1.5
WBGene00010115 aakb-1 9.4 1.8
WBGene00004745 sdc-1 9.4 2.4
WBGene00009531 F38B2.4 9.4 1.6
WBGene00008979 F20D1.9 9.4 1.6
WBGene00008882 F16B12.6 9.4 1.6
WBGene00015778 C14F11.1 9.4 2.2
WBGene00020083 R57.2 9.3 1.9
WBGene00000461 ceh-40 9.3 2.5
WBGene00008865 F15G9.1 9.3 1.6
WBGene00017241 F08C6.2 9.3 1.5
WBGene00001435 fkh-3 9.3 2.4
WBGene00020765 T24C12.3 9.2 1.9
WBGene00019727 M02D8.1 9.2 2.0
WBGene00010691 K08H2.4 9.2 1.6
WBGene00004769 sel-12 9.2 1.7
WBGene00006432 tag-53 9.2 1.6
WBGene00002058 ifd-2 9.2 1.5
WBGene00000884 cyn-8 9.2 1.7
WBGene00016867 C52B9.4 9.2 1.5
WBGene00003778 nnt-1 9.2 1.6
WBGene00006393 taf-11.1 9.1 2.0
WBGene00004356 rhi-1 9.1 1.8
WBGene00002037 hum-4 9.1 1.7
WBGene00003990 pfn-2 9.1 2.1
WBGene00001025 dnj-7 9.1 1.7
WBGene00019938 R07E4.5 9.0 1.9
WBGene00010519 K03A11.1 9.0 2.0
WBGene00016406 C34D10.1 9.0 12.4
WBGene00007811 C29F7.2 9.0 1.8
WBGene00007348 C05G5.2 9.0 1.5
WBGene00007284 C03H12.1 9.0 1.5
WBGene00022504 ZC13.3 8.9 1.6
WBGene00002031 hst-6 8.9 1.5
WBGene00020322 T07F12.2 8.9 1.6
WBGene00011226 R11.1 8.9 1.8
WBGene00008691 F11C1.2 8.9 1.7
WBGene00000988 dhs-25 8.9 2.0
WBGene00015623 C09B8.4 8.9 2.5
WBGene00015429 sor-3 8.9 1.5
WBGene00003681 nhr-91 8.8 1.6
WBGene00011107 R07E3.6 8.8 2.6
WBGene00009067 F23A7.1 8.8 1.7
WBGene00006922 vhl-1 8.8 1.9
WBGene00007847 C31E10.6 8.8 1.7
WBGene00022769 ZK563.5 8.7 1.5
WBGene00022666 ZK154.4 8.7 1.9
WBGene00021319 Y34B4A.2 8.7 1.5
WBGene00007011 mdt-1.2 8.7 1.8
WBGene00011820 T18D3.1 8.7 2.8
WBGene00010981 R03A10.1 8.7 1.9
WBGene00010552 K04C1.2 8.7 1.6
WBGene00000195 arr-1 8.7 1.5
WBGene00016643 vps-45 8.7 2.1
WBGene00001436 fkh-4 8.7 2.7
WBGene00019867 R04B3.2 8.6 1.8
WBGene00010726 K09E9.3 8.6 1.8
WBGene00022667 ZK154.5 8.5 1.7
WBGene00012445 Y16B4A.2 8.5 1.7
WBGene00021046 sedl-1 8.5 1.5
WBGene00000245 bca-1 8.5 1.8
WBGene00019318 K02E10.4 8.5 2.2
WBGene00016913 lam-2 8.5 1.9
WBGene00008207 C49F5.3 8.5 1.7
WBGene00001981 hnd-1 8.5 2.7
WBGene00015138 B0310.2 8.5 2.0
WBGene00010834 M03B6.2 8.4 1.7
WBGene00008959 F19H6.4 8.4 2.2
WBGene00008690 F11C1.1 8.4 1.8
WBGene00000391 cdd-1 8.4 2.0
WBGene00004335 ref-2 8.4 1.7
WBGene00015866 C16E9.2 8.4 1.7
WBGene00022827 ZK816.4 8.3 1.9
WBGene00020571 T19D7.3 8.3 1.7
WBGene00011012 R04D3.4 8.3 2.6
WBGene00010984 nkat-3 8.3 1.8
WBGene00019609 K10B3.1 8.3 2.3
WBGene00004377 rme-6 8.3 1.6
WBGene00000451 ceh-30 8.3 1.5
WBGene00019989 R09F10.8 8.2 2.3
WBGene00010339 acl-1 8.2 1.5
WBGene00015548 C06G1.5 8.2 1.5
WBGene00015472 C05D9.3 8.2 1.9
WBGene00022647 ZK54.1 8.1 1.8
WBGene00018236 fbxb-71 8.1 2.9
WBGene00016871 tag-303 8.1 1.8
WBGene00009483 F36G3.2 8.0 1.5
WBGene00017340 F10D7.3 8.0 1.9
WBGene00012299 W06D11.1 7.9 2.0
WBGene00011139 R08B4.3 7.9 1.7
WBGene00019584 set-12 7.9 1.5
WBGene00004127 pqn-40 7.9 1.5
WBGene00006535 tba-9 7.9 2.1
WBGene00017530 F16H11.1 7.9 1.5
WBGene00016068 C24H10.2 7.9 1.5
WBGene00006496 tag-150 7.9 1.5
WBGene00022207 Y73B3A.5 7.9 1.7
WBGene00010066 F54F7.6 7.8 2.9
WBGene00018713 F52G3.5 7.8 1.7
WBGene00000745 col-172 7.8 2.0
WBGene00007267 C03A3.2 7.8 2.1
WBGene00021324 Y34B4A.8 7.7 1.5
WBGene00020672 T22B7.3 7.7 1.6
WBGene00011011 R04D3.3 7.7 2.2
WBGene00009820 F47B10.9 7.7 1.6
WBGene00009560 psa-3 7.7 1.5
WBGene00008880 F16B12.4 7.7 1.5
WBGene00000075 adm-4 7.6 1.5
WBGene00003883 osm-1 7.6 1.5
WBGene00010397 H13N06.4 7.6 1.8
WBGene00018077 F35H12.5 7.6 1.5
WBGene00008954 F19C6.5 7.6 1.5
WBGene00011981 T24C2.2 7.5 2.4
WBGene00003943 pbo-4 7.5 2.6
WBGene00010689 K08H2.2 7.5 3.3
WBGene00010222 F57G12.2 7.5 1.8
WBGene00003369 mlc-1 7.5 1.7
WBGene00006462 tag-97 7.5 1.6
WBGene00007286 C04A11.2 7.5 1.7
WBGene00000993 dhs-30 7.4 2.4
WBGene00020665 T22B2.1 7.4 4.1
WBGene00010968 R01E6.2 7.4 1.9
WBGene00019403 K05B2.2 7.4 1.6
WBGene00003410 mrp-4 7.4 1.7
WBGene00008094 C44H4.4 7.4 1.8
WBGene00003007 lin-18 7.4 1.6
WBGene00004927 snx-1 7.4 2.3
WBGene00012301 W06D11.3 7.3 3.5
WBGene00020509 hex-1 7.3 1.8
WBGene00000755 col-182 7.3 1.9
WBGene00020768 T01B6.1 7.3 2.1
WBGene00020630 T20F7.1 7.2 2.0
WBGene00010971 R01E6.7 7.2 1.8
WBGene00008747 F13E6.3 7.2 1.7
WBGene00016189 C28G1.4 7.2 1.9
WBGene00015363 dyf-11 7.2 1.6
WBGene00003018 lin-32 7.1 1.5
WBGene00003169 mec-5 7.0 1.6
WBGene00014143 ZK899.5 6.9 3.0
WBGene00017473 F14H12.6 6.9 2.2
WBGene00016104 ddr-1 6.9 2.3
WBGene00015800 C15H9.4 6.9 1.6
WBGene00007347 C05G5.1 6.9 1.5
WBGene00015180 B0416.4 6.9 2.8
WBGene00012300 W06D11.2 6.8 2.3
WBGene00011081 R07B1.9 6.8 1.7
WBGene00004354 rgs-11 6.8 2.0
WBGene00019554 K09C4.10 6.7 1.6
WBGene00009088 F23D12.4 6.7 2.8
WBGene00017298 toca-1 6.7 1.8
WBGene00015586 C08A9.6 6.7 1.6
WBGene00000797 crn-4 6.7 1.9
WBGene00018522 F46H5.7 6.6 1.6
WBGene00003624 nhr-28 6.6 1.8
WBGene00003843 oct-2 6.5 1.9
WBGene00010690 K08H2.3 6.5 1.8
WBGene00018026 F35A5.4 6.5 1.5
WBGene00001537 gcy-11 6.5 1.9
WBGene00004004 pgp-10 6.4 1.5
WBGene00019347 K02H8.1 6.3 1.7
WBGene00017049 D2021.8 6.3 1.5
WBGene00004126 pqn-39 6.2 1.9
WBGene00015787 C15B12.6 6.1 1.7
WBGene00022292 Y75D11A.3 6.0 1.7
WBGene00018739 F53B1.8 6.0 1.5
WBGene00008464 E02H4.6 6.0 1.7
WBGene00015713 C12D12.1 6.0 1.6
WBGene00022291 Y75D11A.2 5.7 1.6
WBGene00017728 F22H10.4 5.6 1.9
WBGene00007327 C05C9.3 5.5 1.6
WBGene00018856 F55A4.4 5.2 1.6
WBGene00019576 K09E3.5 5.1 1.5
