WormBaseId GeneName ExprWtXXEmb FoldIncrease_sdc-2Mutant FoldIncrease_dpy-27Mut
WBGene00004033 pkc-2 7.8 2.3 2.7
WBGene00017478 F15A8.6 7.8 1.7 2.8
WBGene00001674 gpa-12 7.8 2.4 2.9
WBGene00011073 R07A4.2 7.8 2.2 3.3
WBGene00004345 rgs-2 7.8 3.2 3.3
WBGene00021320 Y34B4A.4 7.7 1.9 1.7
WBGene00006068 sto-6 7.7 1.8 1.6
WBGene00016866 coel-1 7.7 2.9 1.6
WBGene00019957 R08E3.1 7.7 1.6 1.8
WBGene00000116 alh-10 7.7 1.6 2.3
WBGene00010338 F59F4.3 7.7 2.0 2.9
WBGene00001451 flp-8 7.7 1.9 3.0
WBGene00006372 syn-2 7.7 3.4 3.3
WBGene00019959 R08E3.3 7.6 1.6 1.5
WBGene00043981 T14E8.4 7.6 2.2 1.8
WBGene00022744 ZK470.1 7.6 2.0 1.8
WBGene00003232 mgl-1 7.6 1.7 2.2
WBGene00018281 F41D9.1 7.6 1.7 2.2
WBGene00006981 zig-4 7.6 1.9 2.3
WBGene00013869 ZC373.4 7.6 1.9 3.2
WBGene00002177 jkk-1 7.6 2.1 4.0
WBGene00010329 F59D12.1 7.6 2.4 4.1
WBGene00020196 T03G11.3 7.5 2.1 1.5
WBGene00009932 F52D10.6 7.5 1.8 1.5
WBGene00008093 C44H4.1 7.5 1.8 1.8
WBGene00003394 mom-1 7.5 3.7 1.9
WBGene00015948 C18A11.2 7.5 1.8 2.1
WBGene00010903 M79.3 7.5 1.8 3.3
WBGene00000086 aex-3 7.5 2.2 3.5
WBGene00019737 M02F4.3 7.5 2.5 3.8
WBGene00003412 mrp-6 7.5 2.7 4.0
WBGene00010225 ttr-31 7.4 4.0 1.7
WBGene00001149 bcat-1 7.4 4.5 2.0
WBGene00000522 clc-1 7.4 3.1 2.4
WBGene00007694 C23H4.6 7.4 1.7 2.6
WBGene00006640 tsp-14 7.4 3.0 2.7
WBGene00000523 clc-2 7.4 2.4 3.3
WBGene00000441 ceh-18 7.4 3.6 5.6
WBGene00003733 nhx-5 7.3 1.7 1.6
WBGene00010724 K09E9.1 7.3 1.8 1.6
WBGene00007906 C33G3.6 7.3 2.1 1.9
WBGene00019844 abts-4 7.3 2.0 1.9
WBGene00018374 tag-343 7.3 1.8 2.0
WBGene00006477 tag-130 7.3 1.6 2.0
WBGene00020339 T08A9.11 7.3 5.1 2.3
WBGene00014213 ZK1073.1 7.2 4.5 4.1
WBGene00009529 F38B2.2 7.2 1.6 1.7
WBGene00002163 ist-1 7.2 2.1 1.8
WBGene00018031 F35B3.4 7.2 5.9 2.0
WBGene00001690 grd-1 7.2 1.5 2.0
WBGene00001517 gar-1 7.2 1.6 2.1
WBGene00011076 R07B1.3 7.2 1.7 2.1
WBGene00008451 E01G6.3 7.2 1.6 2.2
WBGene00018171 F38B6.1 7.2 1.7 2.2
WBGene00001560 gei-3 7.2 2.4 2.6
WBGene00010009 F53H4.4 7.2 4.6 3.1
WBGene00018731 F53A9.8 7.1 4.1 1.6
WBGene00018860 F55A4.8 7.1 1.6 1.7
WBGene00017422 F13C5.1 7.1 2.0 3.4
WBGene00006642 tsp-16 7.1 1.8 3.7
WBGene00019749 M03A8.3 7.1 2.9 5.1
WBGene00019518 K08B5.1 7.0 1.7 1.5
WBGene00001450 flp-7 7.0 2.4 1.8
WBGene00014140 ZK899.1 7.0 2.7 2.1
WBGene00022668 ZK154.6 7.0 1.7 2.3
WBGene00019871 R04E5.8 7.0 3.4 2.4
WBGene00012225 W03G11.3 7.0 1.7 2.4
WBGene00003166 mec-2 6.9 1.6 1.7
WBGene00020844 T27A10.2 6.9 1.6 1.7
WBGene00006750 unc-10 6.9 1.9 2.8
WBGene00000035 ace-1 6.9 2.0 2.8
WBGene00000072 add-1 6.9 1.6 4.2
WBGene00000510 cka-2 6.8 1.9 1.6
WBGene00011824 T18D3.7 6.8 1.6 1.7
WBGene00003124 mai-1 6.8 3.0 1.8
WBGene00016254 fbxb-114 6.8 1.6 2.0
WBGene00016894 C53B7.3 6.7 7.4 1.8
WBGene00001619 glr-8 6.7 1.6 1.9
WBGene00019828 R02E12.4 6.7 1.8 1.9
WBGene00010716 lge-1 6.7 1.7 2.6
WBGene00006792 unc-58 6.6 2.8 2.1
WBGene00021529 Y41G9A.5 6.6 1.7 2.2
WBGene00007813 C29F7.6 6.6 4.1 2.6
WBGene00010334 F59F3.4 6.6 1.9 2.9
WBGene00017176 F02E8.2 6.5 1.9 1.7
WBGene00017861 F27D9.2 6.5 2.1 1.9
WBGene00003408 mrp-2 6.5 2.6 2.0
WBGene00022413 Y102A11A.3 6.5 3.7 2.4
WBGene00000083 adt-2 6.5 2.2 3.0
WBGene00009819 F47B10.8 6.5 2.9 5.5
WBGene00016438 C35B8.3 6.4 1.6 1.5
WBGene00017400 F12D9.1 6.4 1.9 1.6
WBGene00007751 C26G2.2 6.4 1.6 1.6
WBGene00015921 C17H11.1 6.4 1.5 1.6
WBGene00015294 C01C10.2 6.4 1.6 1.7
WBGene00006980 zig-3 6.4 6.2 2.0
WBGene00006870 vab-3 6.4 2.0 2.3
WBGene00017149 EGAP4.1 6.3 1.9 1.5
WBGene00011765 T14C1.1 6.3 3.1 1.6
WBGene00016533 C39D10.6 6.3 1.6 1.8
WBGene00021527 Y41G9A.3 6.3 1.9 1.9
WBGene00019345 K02G10.3 6.3 2.2 2.2
WBGene00003530 nas-11 6.2 3.2 1.5
WBGene00017898 F28C10.3 6.2 1.6 1.7
WBGene00005129 srd-51 6.2 3.3 2.0
WBGene00004008 pgp-14 6.2 2.5 2.1
WBGene00019612 K10B3.6 6.2 1.8 2.6
WBGene00004285 rab-37 6.2 1.7 2.8
WBGene00017691 ilys-5 6.1 1.6 1.6
WBGene00017157 tyra-2 6.1 1.8 1.8
WBGene00007958 C35C5.9 6.1 1.9 1.8
WBGene00015822 C16B8.2 6.1 2.1 4.3
WBGene00017108 cyp-43A1 6.0 1.6 1.5
WBGene00017449 F14B8.7 6.0 1.7 2.4
WBGene00022200 Y71H10A.2 5.9 2.3 1.6
WBGene00007285 C04A11.1 5.9 2.2 2.1
WBGene00016659 C45B2.2 5.9 27.5 2.9
WBGene00018257 F41B4.1 5.8 3.5 3.0
WBGene00006864 uvt-6 5.7 1.7 1.6
WBGene00015947 C18A11.1 5.7 1.7 1.6
WBGene00015182 B0416.7 5.6 1.6 1.7
WBGene00008746 F13E6.2 5.6 2.0 2.6
WBGene00020214 T04G9.1 5.6 1.6 3.1
WBGene00016662 C45B2.8 5.5 4.0 1.8
